"BehaviorSpace results (NetLogo 6.0.4)"
"20190209 RecMechOLM.nlogo"
"info_asym_auctiontype"
"02/13/2019 09:06:45:350 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-employers","num-employees","coef-strategy","print-log","coef-nr-jobs","coef-talent","coef-feedback","num-jobs","auction","[step]","earn-rep0_30","earn-rep30_70","earn-rep70_100","jobs-rep0_30","jobs-rep30_70","jobs-rep70_100","count-no-work","meanrep-no-work"
"12","30","120","0.001","false","0.5","0.5","0.75","200","open","212","80.67988055940317","303.88455303745405","1039.8022248109912","0.26666666666666666","1.4375","4.3076923076923075","49","36.55102040816327"
"10","30","120","0.001","false","0.5","0.5","0.75","200","open","217","40.35863811922974","419.5689447795008","780.6783664079308","0.14285714285714285","1.7922077922077921","3.4545454545454546","46","39.78260869565217"
"13","30","120","0.001","false","0.5","0.5","0.75","200","open","214","44.365773399872495","333.2618022641306","956.1776477184836","0.18518518518518517","1.4444444444444444","3.933333333333333","51","36.745098039215684"
"14","30","120","0.001","false","0.5","0.5","0.75","200","open","214","116.21930813600066","365.03347182182995","922.4501935759831","0.5909090909090909","1.6","3.5217391304347827","50","40.44"
"15","30","120","0.001","false","0.5","0.5","0.75","200","open","210","20.3958910351473","358.74931617034196","1084.666636560534","0.16666666666666666","1.5731707317073171","3.9","57","39.87719298245614"
"16","30","120","0.001","false","0.5","0.5","0.75","200","open","212","125.6670885144775","357.76779421255304","1056.6508607552453","0.5","1.3421052631578947","4.166666666666667","52","41.01923076923077"
"17","30","120","0.001","false","0.5","0.5","0.75","200","open","212","102.89997385071418","330.1845790010121","965.712784185419","0.47619047619047616","1.2972972972972974","4.24","40","38.925"
"18","30","120","0.001","false","0.5","0.5","0.75","200","open","211","185.81329629646876","416.8376006106485","927.9360340636063","0.7407407407407407","1.619718309859155","3.4545454545454546","47","37.191489361702125"
"19","30","120","0.001","false","0.5","0.5","0.75","200","open","214","16.72326576278274","354.78936075094435","953.1739328122464","0.0625","1.435897435897436","3.8846153846153846","47","38.59574468085106"
"20","30","120","0.001","false","0.5","0.5","0.75","200","open","214","43.798812753696254","289.6230204650789","868.8374230132505","0.2777777777777778","1.5454545454545454","3.6","50","40.92"
"21","30","120","0.001","false","0.5","0.5","0.75","200","open","218","62.62437818545885","407.1458673285085","893.3604987674302","0.6086956521739131","1.5789473684210527","4","50","39.6"
"22","30","120","0.001","false","0.5","0.5","0.75","200","open","212","49.82117442091555","381.0482279577302","839.2438357551355","0.22727272727272727","1.5492957746478873","3.5925925925925926","49","39.46938775510204"
"23","30","120","0.001","false","0.5","0.5","0.75","200","open","206","97.47652839376752","323.9705198802939","919.903179081405","0.5384615384615384","1.462686567164179","3.4814814814814814","45","36.355555555555554"
"24","30","120","0.001","false","0.5","0.5","0.75","200","open","210","155.37765033925018","291.47794531730455","1051.8084977711815","0.4583333333333333","1.289855072463768","4.074074074074074","48","39.1875"
"25","30","120","0.001","false","0.5","0.5","0.75","200","open","215","67.83039439888685","301.0278012466623","965.0743064805254","0.30434782608695654","1.3823529411764706","3.9310344827586206","44","37.40909090909091"
"27","30","120","0.001","false","0.5","0.5","0.75","200","open","206","106.4448451450992","342.9372648359714","716.8661469716191","0.6190476190476191","1.5068493150684932","3.1923076923076925","51","41.1764705882353"
"26","30","120","0.001","false","0.5","0.5","0.75","200","open","211","65.05143151755047","348.27687169058663","828.141515733289","0.36363636363636365","1.4383561643835616","3.92","45","37.666666666666664"
"28","30","120","0.001","false","0.5","0.5","0.75","200","open","215","27.628278769690777","349.4051744364035","704.9042182094588","0.18518518518518517","1.6290322580645162","3.5161290322580645","49","36.12244897959184"
"30","30","120","0.001","false","0.5","0.5","0.75","200","open","211","40.961476361423415","358.7574056377751","902.4361437508039","0.18518518518518517","1.7","3.782608695652174","47","36.170212765957444"
"29","30","120","0.001","false","0.5","0.5","0.75","200","open","205","80.19464876000276","347.65107774158525","944.013113091637","0.39285714285714285","1.5833333333333333","4","49","39.87755102040816"
"31","30","120","0.001","false","0.5","0.5","0.75","200","open","212","93.40236126723738","374.6246712084463","862.3033656480405","0.42857142857142855","1.5945945945945945","3.4","47","36.97872340425532"
"32","30","120","0.001","false","0.5","0.5","0.75","200","open","214","82.79609483085858","383.79658182025645","918.5777193982474","0.42857142857142855","1.5070422535211268","3.5","51","36.86274509803921"
"33","30","120","0.001","false","0.5","0.5","0.75","200","open","210","74.29640601712283","308.12299476018677","734.9850555671902","0.35","1.3636363636363635","3.323529411764706","41","36.1219512195122"
